Category: All categories

Week,dengue: (Philippines)
2014-08-31,15
2014-09-07,16
2014-09-14,14
2014-09-21,13
2014-09-28,13
2014-10-05,13
2014-10-12,16
2014-10-19,14
2014-10-26,12
2014-11-02,17
2014-11-09,15
2014-11-16,14
2014-11-23,14
2014-11-30,12
2014-12-07,11
2014-12-14,10
2014-12-21,9
2014-12-28,10
2015-01-04,12
2015-01-11,11
2015-01-18,11
2015-01-25,11
2015-02-01,10
2015-02-08,10
2015-02-15,11
2015-02-22,10
2015-03-01,9
2015-03-08,8
2015-03-15,7
2015-03-22,6
2015-03-29,5
2015-04-05,6
2015-04-12,6
2015-04-19,5
2015-04-26,6
2015-05-03,4
2015-05-10,5
2015-05-17,5
2015-05-24,7
2015-05-31,6
2015-06-07,6
2015-06-14,8
2015-06-21,10
2015-06-28,16
2015-07-05,15
2015-07-12,13
2015-07-19,16
2015-07-26,17
2015-08-02,18
2015-08-09,21
2015-08-16,19
2015-08-23,21
2015-08-30,22
2015-09-06,25
2015-09-13,25
2015-09-20,29
2015-09-27,39
2015-10-04,43
2015-10-11,35
2015-10-18,29
2015-10-25,29
2015-11-01,28
2015-11-08,25
2015-11-15,21
2015-11-22,23
2015-11-29,18
2015-12-06,17
2015-12-13,15
2015-12-20,12
2015-12-27,13
2016-01-03,19
2016-01-10,16
2016-01-17,17
2016-01-24,16
2016-01-31,13
2016-02-07,16
2016-02-14,14
2016-02-21,13
2016-02-28,11
2016-03-06,12
2016-03-13,11
2016-03-20,9
2016-03-27,9
2016-04-03,9
2016-04-10,7
2016-04-17,7
2016-04-24,7
2016-05-01,6
2016-05-08,5
2016-05-15,6
2016-05-22,6
2016-05-29,7
2016-06-05,8
2016-06-12,10
2016-06-19,13
2016-06-26,13
2016-07-03,15
2016-07-10,17
2016-07-17,20
2016-07-24,25
2016-07-31,23
2016-08-07,27
2016-08-14,28
2016-08-21,29
2016-08-28,32
2016-09-04,27
2016-09-11,23
2016-09-18,22
2016-09-25,20
2016-10-02,19
2016-10-09,21
2016-10-16,18
2016-10-23,17
2016-10-30,15
2016-11-06,17
2016-11-13,15
2016-11-20,16
2016-11-27,16
2016-12-04,14
2016-12-11,14
2016-12-18,10
2016-12-25,10
2017-01-01,11
2017-01-08,13
2017-01-15,12
2017-01-22,9
2017-01-29,11
2017-02-05,11
2017-02-12,9
2017-02-19,10
2017-02-26,9
2017-03-05,10
2017-03-12,9
2017-03-19,8
2017-03-26,7
2017-04-02,5
2017-04-09,5
2017-04-16,6
2017-04-23,6
2017-04-30,6
2017-05-07,5
2017-05-14,6
2017-05-21,6
2017-05-28,8
2017-06-04,8
2017-06-11,9
2017-06-18,11
2017-06-25,12
2017-07-02,11
2017-07-09,13
2017-07-16,15
2017-07-23,16
2017-07-30,17
2017-08-06,19
2017-08-13,18
2017-08-20,20
2017-08-27,16
2017-09-03,18
2017-09-10,15
2017-09-17,16
2017-09-24,15
2017-10-01,14
2017-10-08,14
2017-10-15,15
2017-10-22,11
2017-10-29,13
2017-11-05,13
2017-11-12,14
2017-11-19,13
2017-11-26,20
2017-12-03,35
2017-12-10,27
2017-12-17,15
2017-12-24,14
2017-12-31,17
2018-01-07,18
2018-01-14,17
2018-01-21,16
2018-01-28,18
2018-02-04,14
2018-02-11,12
2018-02-18,14
2018-02-25,13
2018-03-04,10
2018-03-11,10
2018-03-18,8
2018-03-25,5
2018-04-01,6
2018-04-08,7
2018-04-15,5
2018-04-22,5
2018-04-29,6
2018-05-06,6
2018-05-13,5
2018-05-20,7
2018-05-27,7
2018-06-03,9
2018-06-10,9
2018-06-17,9
2018-06-24,12
2018-07-01,14
2018-07-08,19
2018-07-15,21
2018-07-22,23
2018-07-29,22
2018-08-05,23
2018-08-12,24
2018-08-19,21
2018-08-26,21
2018-09-02,17
2018-09-09,19
2018-09-16,21
2018-09-23,19
2018-09-30,19
2018-10-07,18
2018-10-14,18
2018-10-21,17
2018-10-28,17
2018-11-04,18
2018-11-11,18
2018-11-18,18
2018-11-25,18
2018-12-02,17
2018-12-09,19
2018-12-16,16
2018-12-23,18
2018-12-30,23
2019-01-06,26
2019-01-13,26
2019-01-20,22
2019-01-27,23
2019-02-03,18
2019-02-10,18
2019-02-17,17
2019-02-24,16
2019-03-03,13
2019-03-10,13
2019-03-17,11
2019-03-24,8
2019-03-31,8
2019-04-07,8
2019-04-14,7
2019-04-21,7
2019-04-28,7
2019-05-05,7
2019-05-12,7
2019-05-19,8
2019-05-26,8
2019-06-02,10
2019-06-09,10
2019-06-16,14
2019-06-23,19
2019-06-30,24
2019-07-07,31
2019-07-14,54
2019-07-21,65
2019-07-28,64
2019-08-04,82
2019-08-11,81
2019-08-18,100
