Category: All categories

Week,dengue cure: (Philippines)
2014-08-31,19
2014-09-07,26
2014-09-14,37
2014-09-21,26
2014-09-28,32
2014-10-05,13
2014-10-12,25
2014-10-19,13
2014-10-26,0
2014-11-02,39
2014-11-09,38
2014-11-16,13
2014-11-23,25
2014-11-30,25
2014-12-07,12
2014-12-14,27
2014-12-21,29
2014-12-28,14
2015-01-04,12
2015-01-11,36
2015-01-18,12
2015-01-25,17
2015-02-01,17
2015-02-08,12
2015-02-15,12
2015-02-22,34
2015-03-01,11
2015-03-08,17
2015-03-15,11
2015-03-22,0
2015-03-29,0
2015-04-05,0
2015-04-12,12
2015-04-19,0
2015-04-26,12
2015-05-03,0
2015-05-10,12
2015-05-17,12
2015-05-24,0
2015-05-31,11
2015-06-07,11
2015-06-14,11
2015-06-21,10
2015-06-28,21
2015-07-05,10
2015-07-12,21
2015-07-19,21
2015-07-26,42
2015-08-02,32
2015-08-09,26
2015-08-16,32
2015-08-23,21
2015-08-30,32
2015-09-06,42
2015-09-13,53
2015-09-20,52
2015-09-27,73
2015-10-04,41
2015-10-11,87
2015-10-18,43
2015-10-25,33
2015-11-01,43
2015-11-08,47
2015-11-15,47
2015-11-22,31
2015-11-29,21
2015-12-06,36
2015-12-13,22
2015-12-20,38
2015-12-27,49
2016-01-03,43
2016-01-10,53
2016-01-17,32
2016-01-24,26
2016-01-31,31
2016-02-07,0
2016-02-14,26
2016-02-21,15
2016-02-28,10
2016-03-06,10
2016-03-13,10
2016-03-20,17
2016-03-27,11
2016-04-03,27
2016-04-10,11
2016-04-17,11
2016-04-24,32
2016-05-01,21
2016-05-08,0
2016-05-15,11
2016-05-22,0
2016-05-29,11
2016-06-05,11
2016-06-12,26
2016-06-19,25
2016-06-26,35
2016-07-03,25
2016-07-10,21
2016-07-17,32
2016-07-24,32
2016-07-31,42
2016-08-07,42
2016-08-14,61
2016-08-21,33
2016-08-28,33
2016-09-04,43
2016-09-11,44
2016-09-18,59
2016-09-25,11
2016-10-02,37
2016-10-09,21
2016-10-16,26
2016-10-23,28
2016-10-30,35
2016-11-06,21
2016-11-13,21
2016-11-20,16
2016-11-27,10
2016-12-04,15
2016-12-11,32
2016-12-18,35
2016-12-25,18
2017-01-01,33
2017-01-08,20
2017-01-15,25
2017-01-22,10
2017-01-29,25
2017-02-05,20
2017-02-12,20
2017-02-19,10
2017-02-26,19
2017-03-05,28
2017-03-12,19
2017-03-19,10
2017-03-26,10
2017-04-02,0
2017-04-09,33
2017-04-16,0
2017-04-23,10
2017-04-30,0
2017-05-07,0
2017-05-14,11
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,16
2017-06-18,10
2017-06-25,11
2017-07-02,15
2017-07-09,10
2017-07-16,15
2017-07-23,20
2017-07-30,26
2017-08-06,15
2017-08-13,61
2017-08-20,15
2017-08-27,37
2017-09-03,36
2017-09-10,35
2017-09-17,30
2017-09-24,25
2017-10-01,15
2017-10-08,29
2017-10-15,25
2017-10-22,20
2017-10-29,49
2017-11-05,0
2017-11-12,20
2017-11-19,19
2017-11-26,19
2017-12-03,34
2017-12-10,30
2017-12-17,27
2017-12-24,23
2017-12-31,26
2018-01-07,19
2018-01-14,38
2018-01-21,28
2018-01-28,24
2018-02-04,28
2018-02-11,0
2018-02-18,10
2018-02-25,9
2018-03-04,9
2018-03-11,9
2018-03-18,10
2018-03-25,11
2018-04-01,10
2018-04-08,19
2018-04-15,10
2018-04-22,9
2018-04-29,10
2018-05-06,0
2018-05-13,10
2018-05-20,0
2018-05-27,9
2018-06-03,9
2018-06-10,27
2018-06-17,13
2018-06-24,17
2018-07-01,21
2018-07-08,21
2018-07-15,21
2018-07-22,60
2018-07-29,38
2018-08-05,38
2018-08-12,26
2018-08-19,35
2018-08-26,31
2018-09-02,17
2018-09-09,33
2018-09-16,9
2018-09-23,17
2018-09-30,26
2018-10-07,29
2018-10-14,26
2018-10-21,26
2018-10-28,44
2018-11-04,22
2018-11-11,21
2018-11-18,22
2018-11-25,18
2018-12-02,35
2018-12-09,22
2018-12-16,28
2018-12-23,20
2018-12-30,14
2019-01-06,21
2019-01-13,46
2019-01-20,37
2019-01-27,25
2019-02-03,24
2019-02-10,16
2019-02-17,32
2019-02-24,12
2019-03-03,32
2019-03-10,12
2019-03-17,12
2019-03-24,8
2019-03-31,18
2019-04-07,18
2019-04-14,14
2019-04-21,17
2019-04-28,17
2019-05-05,8
2019-05-12,8
2019-05-19,8
2019-05-26,12
2019-06-02,24
2019-06-09,54
2019-06-16,19
2019-06-23,30
2019-06-30,23
2019-07-07,41
2019-07-14,49
2019-07-21,54
2019-07-28,100
2019-08-04,80
2019-08-11,73
2019-08-18,95
