Category: All categories

Week,dengue fever: (Philippines)
2014-08-31,36
2014-09-07,35
2014-09-14,39
2014-09-21,33
2014-09-28,29
2014-10-05,23
2014-10-12,26
2014-10-19,27
2014-10-26,28
2014-11-02,36
2014-11-09,47
2014-11-16,28
2014-11-23,35
2014-11-30,35
2014-12-07,29
2014-12-14,26
2014-12-21,12
2014-12-28,26
2015-01-04,37
2015-01-11,24
2015-01-18,27
2015-01-25,33
2015-02-01,21
2015-02-08,23
2015-02-15,27
2015-02-22,19
2015-03-01,19
2015-03-08,20
2015-03-15,12
2015-03-22,13
2015-03-29,12
2015-04-05,17
2015-04-12,12
2015-04-19,12
2015-04-26,13
2015-05-03,13
2015-05-10,16
2015-05-17,8
2015-05-24,21
2015-05-31,19
2015-06-07,13
2015-06-14,19
2015-06-21,20
2015-06-28,32
2015-07-05,35
2015-07-12,26
2015-07-19,45
2015-07-26,38
2015-08-02,31
2015-08-09,50
2015-08-16,45
2015-08-23,44
2015-08-30,55
2015-09-06,49
2015-09-13,61
2015-09-20,52
2015-09-27,76
2015-10-04,80
2015-10-11,68
2015-10-18,67
2015-10-25,56
2015-11-01,45
2015-11-08,58
2015-11-15,42
2015-11-22,46
2015-11-29,36
2015-12-06,30
2015-12-13,32
2015-12-20,21
2015-12-27,25
2016-01-03,27
2016-01-10,40
2016-01-17,34
2016-01-24,30
2016-01-31,22
2016-02-07,32
2016-02-14,20
2016-02-21,29
2016-02-28,24
2016-03-06,25
2016-03-13,17
2016-03-20,19
2016-03-27,13
2016-04-03,10
2016-04-10,12
2016-04-17,15
2016-04-24,9
2016-05-01,10
2016-05-08,10
2016-05-15,8
2016-05-22,12
2016-05-29,24
2016-06-05,16
2016-06-12,19
2016-06-19,14
2016-06-26,25
2016-07-03,30
2016-07-10,28
2016-07-17,41
2016-07-24,50
2016-07-31,46
2016-08-07,39
2016-08-14,46
2016-08-21,43
2016-08-28,54
2016-09-04,50
2016-09-11,47
2016-09-18,44
2016-09-25,39
2016-10-02,39
2016-10-09,32
2016-10-16,37
2016-10-23,30
2016-10-30,24
2016-11-06,27
2016-11-13,29
2016-11-20,31
2016-11-27,25
2016-12-04,23
2016-12-11,24
2016-12-18,18
2016-12-25,17
2017-01-01,25
2017-01-08,22
2017-01-15,24
2017-01-22,19
2017-01-29,13
2017-02-05,20
2017-02-12,20
2017-02-19,17
2017-02-26,18
2017-03-05,20
2017-03-12,22
2017-03-19,25
2017-03-26,17
2017-04-02,14
2017-04-09,15
2017-04-16,6
2017-04-23,12
2017-04-30,14
2017-05-07,11
2017-05-14,16
2017-05-21,10
2017-05-28,22
2017-06-04,12
2017-06-11,21
2017-06-18,17
2017-06-25,22
2017-07-02,19
2017-07-09,27
2017-07-16,29
2017-07-23,26
2017-07-30,34
2017-08-06,44
2017-08-13,35
2017-08-20,37
2017-08-27,27
2017-09-03,37
2017-09-10,32
2017-09-17,28
2017-09-24,28
2017-10-01,28
2017-10-08,32
2017-10-15,39
2017-10-22,18
2017-10-29,28
2017-11-05,24
2017-11-12,27
2017-11-19,28
2017-11-26,32
2017-12-03,37
2017-12-10,33
2017-12-17,20
2017-12-24,24
2017-12-31,37
2018-01-07,28
2018-01-14,17
2018-01-21,26
2018-01-28,13
2018-02-04,23
2018-02-11,20
2018-02-18,24
2018-02-25,23
2018-03-04,12
2018-03-11,19
2018-03-18,18
2018-03-25,9
2018-04-01,11
2018-04-08,18
2018-04-15,9
2018-04-22,12
2018-04-29,9
2018-05-06,11
2018-05-13,12
2018-05-20,15
2018-05-27,13
2018-06-03,16
2018-06-10,13
2018-06-17,15
2018-06-24,15
2018-07-01,27
2018-07-08,32
2018-07-15,34
2018-07-22,34
2018-07-29,38
2018-08-05,46
2018-08-12,37
2018-08-19,49
2018-08-26,27
2018-09-02,26
2018-09-09,34
2018-09-16,32
2018-09-23,37
2018-09-30,40
2018-10-07,26
2018-10-14,32
2018-10-21,34
2018-10-28,33
2018-11-04,46
2018-11-11,29
2018-11-18,28
2018-11-25,36
2018-12-02,33
2018-12-09,46
2018-12-16,34
2018-12-23,32
2018-12-30,47
2019-01-06,47
2019-01-13,48
2019-01-20,42
2019-01-27,40
2019-02-03,26
2019-02-10,28
2019-02-17,30
2019-02-24,33
2019-03-03,25
2019-03-10,25
2019-03-17,22
2019-03-24,22
2019-03-31,18
2019-04-07,15
2019-04-14,15
2019-04-21,21
2019-04-28,12
2019-05-05,13
2019-05-12,15
2019-05-19,18
2019-05-26,13
2019-06-02,14
2019-06-09,17
2019-06-16,25
2019-06-23,27
2019-06-30,36
2019-07-07,46
2019-07-14,73
2019-07-21,68
2019-07-28,81
2019-08-04,94
2019-08-11,94
2019-08-18,100
