Category: All categories

Week,dengue medicine: (Philippines)
2014-08-31,29
2014-09-07,19
2014-09-14,28
2014-09-21,20
2014-09-28,19
2014-10-05,0
2014-10-12,19
2014-10-19,19
2014-10-26,20
2014-11-02,39
2014-11-09,76
2014-11-16,38
2014-11-23,38
2014-11-30,19
2014-12-07,19
2014-12-14,20
2014-12-21,22
2014-12-28,0
2015-01-04,36
2015-01-11,18
2015-01-18,0
2015-01-25,18
2015-02-01,18
2015-02-08,0
2015-02-15,18
2015-02-22,17
2015-03-01,0
2015-03-08,0
2015-03-15,18
2015-03-22,0
2015-03-29,0
2015-04-05,18
2015-04-12,0
2015-04-19,18
2015-04-26,0
2015-05-03,18
2015-05-10,0
2015-05-17,18
2015-05-24,18
2015-05-31,17
2015-06-07,17
2015-06-14,16
2015-06-21,32
2015-06-28,40
2015-07-05,15
2015-07-12,40
2015-07-19,24
2015-07-26,32
2015-08-02,40
2015-08-09,32
2015-08-16,32
2015-08-23,33
2015-08-30,16
2015-09-06,71
2015-09-13,16
2015-09-20,48
2015-09-27,55
2015-10-04,40
2015-10-11,63
2015-10-18,49
2015-10-25,16
2015-11-01,49
2015-11-08,32
2015-11-15,24
2015-11-22,47
2015-11-29,16
2015-12-06,16
2015-12-13,51
2015-12-20,38
2015-12-27,28
2016-01-03,17
2016-01-10,40
2016-01-17,32
2016-01-24,31
2016-01-31,16
2016-02-07,47
2016-02-14,48
2016-02-21,31
2016-02-28,15
2016-03-06,46
2016-03-13,23
2016-03-20,0
2016-03-27,16
2016-04-03,16
2016-04-10,16
2016-04-17,0
2016-04-24,16
2016-05-01,16
2016-05-08,32
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,32
2016-06-12,16
2016-06-19,30
2016-06-26,15
2016-07-03,61
2016-07-10,16
2016-07-17,48
2016-07-24,32
2016-07-31,32
2016-08-07,40
2016-08-14,25
2016-08-21,100
2016-08-28,50
2016-09-04,16
2016-09-11,33
2016-09-18,49
2016-09-25,0
2016-10-02,24
2016-10-09,24
2016-10-16,63
2016-10-23,17
2016-10-30,35
2016-11-06,33
2016-11-13,40
2016-11-20,16
2016-11-27,24
2016-12-04,15
2016-12-11,16
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,15
2017-01-15,15
2017-01-22,15
2017-01-29,15
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,14
2017-03-05,21
2017-03-12,14
2017-03-19,15
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,16
2017-04-23,16
2017-04-30,0
2017-05-07,23
2017-05-14,0
2017-05-21,17
2017-05-28,0
2017-06-04,16
2017-06-11,17
2017-06-18,31
2017-06-25,16
2017-07-02,31
2017-07-09,0
2017-07-16,23
2017-07-23,23
2017-07-30,47
2017-08-06,31
2017-08-13,39
2017-08-20,31
2017-08-27,48
2017-09-03,31
2017-09-10,16
2017-09-17,0
2017-09-24,15
2017-10-01,15
2017-10-08,15
2017-10-15,15
2017-10-22,15
2017-10-29,16
2017-11-05,15
2017-11-12,15
2017-11-19,15
2017-11-26,0
2017-12-03,37
2017-12-10,15
2017-12-17,0
2017-12-24,26
2017-12-31,24
2018-01-07,15
2018-01-14,0
2018-01-21,0
2018-01-28,14
2018-02-04,21
2018-02-11,15
2018-02-18,29
2018-02-25,21
2018-03-04,14
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,30
2018-04-08,0
2018-04-15,29
2018-04-22,0
2018-04-29,15
2018-05-06,0
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,14
2018-06-10,0
2018-06-17,20
2018-06-24,13
2018-07-01,13
2018-07-08,25
2018-07-15,13
2018-07-22,13
2018-07-29,32
2018-08-05,26
2018-08-12,20
2018-08-19,27
2018-08-26,54
2018-09-02,45
2018-09-09,32
2018-09-16,26
2018-09-23,13
2018-09-30,13
2018-10-07,0
2018-10-14,13
2018-10-21,13
2018-10-28,15
2018-11-04,40
2018-11-11,13
2018-11-18,20
2018-11-25,13
2018-12-02,26
2018-12-09,20
2018-12-16,14
2018-12-23,23
2018-12-30,22
2019-01-06,19
2019-01-13,50
2019-01-20,25
2019-01-27,25
2019-02-03,31
2019-02-10,37
2019-02-17,12
2019-02-24,12
2019-03-03,24
2019-03-10,24
2019-03-17,12
2019-03-24,13
2019-03-31,13
2019-04-07,0
2019-04-14,14
2019-04-21,26
2019-04-28,13
2019-05-05,26
2019-05-12,0
2019-05-19,13
2019-05-26,13
2019-06-02,24
2019-06-09,12
2019-06-16,12
2019-06-23,35
2019-06-30,35
2019-07-07,63
2019-07-14,46
2019-07-21,47
2019-07-28,70
2019-08-04,58
2019-08-11,76
2019-08-18,80
