Category: All categories

Week,dengue symptoms: (Philippines)
2014-08-31,22
2014-09-07,21
2014-09-14,19
2014-09-21,18
2014-09-28,13
2014-10-05,18
2014-10-12,23
2014-10-19,24
2014-10-26,28
2014-11-02,23
2014-11-09,24
2014-11-16,23
2014-11-23,18
2014-11-30,19
2014-12-07,19
2014-12-14,16
2014-12-21,22
2014-12-28,21
2015-01-04,26
2015-01-11,16
2015-01-18,14
2015-01-25,19
2015-02-01,20
2015-02-08,16
2015-02-15,7
2015-02-22,18
2015-03-01,13
2015-03-08,11
2015-03-15,14
2015-03-22,11
2015-03-29,8
2015-04-05,11
2015-04-12,10
2015-04-19,9
2015-04-26,5
2015-05-03,9
2015-05-10,6
2015-05-17,8
2015-05-24,7
2015-05-31,13
2015-06-07,9
2015-06-14,12
2015-06-21,14
2015-06-28,18
2015-07-05,23
2015-07-12,22
2015-07-19,27
2015-07-26,30
2015-08-02,30
2015-08-09,28
2015-08-16,27
2015-08-23,33
2015-08-30,33
2015-09-06,36
2015-09-13,45
2015-09-20,42
2015-09-27,61
2015-10-04,65
2015-10-11,49
2015-10-18,41
2015-10-25,42
2015-11-01,29
2015-11-08,31
2015-11-15,29
2015-11-22,31
2015-11-29,25
2015-12-06,21
2015-12-13,21
2015-12-20,19
2015-12-27,21
2016-01-03,28
2016-01-10,22
2016-01-17,22
2016-01-24,18
2016-01-31,18
2016-02-07,18
2016-02-14,21
2016-02-21,17
2016-02-28,12
2016-03-06,10
2016-03-13,14
2016-03-20,11
2016-03-27,12
2016-04-03,9
2016-04-10,7
2016-04-17,6
2016-04-24,11
2016-05-01,7
2016-05-08,8
2016-05-15,8
2016-05-22,13
2016-05-29,11
2016-06-05,12
2016-06-12,15
2016-06-19,16
2016-06-26,17
2016-07-03,20
2016-07-10,23
2016-07-17,32
2016-07-24,38
2016-07-31,31
2016-08-07,33
2016-08-14,43
2016-08-21,41
2016-08-28,45
2016-09-04,39
2016-09-11,40
2016-09-18,31
2016-09-25,33
2016-10-02,27
2016-10-09,21
2016-10-16,26
2016-10-23,24
2016-10-30,21
2016-11-06,16
2016-11-13,14
2016-11-20,13
2016-11-27,22
2016-12-04,17
2016-12-11,17
2016-12-18,15
2016-12-25,16
2017-01-01,16
2017-01-08,16
2017-01-15,13
2017-01-22,10
2017-01-29,13
2017-02-05,11
2017-02-12,14
2017-02-19,10
2017-02-26,11
2017-03-05,11
2017-03-12,6
2017-03-19,11
2017-03-26,9
2017-04-02,7
2017-04-09,6
2017-04-16,8
2017-04-23,5
2017-04-30,8
2017-05-07,6
2017-05-14,7
2017-05-21,5
2017-05-28,10
2017-06-04,8
2017-06-11,9
2017-06-18,14
2017-06-25,16
2017-07-02,12
2017-07-09,19
2017-07-16,24
2017-07-23,23
2017-07-30,22
2017-08-06,25
2017-08-13,19
2017-08-20,21
2017-08-27,19
2017-09-03,21
2017-09-10,16
2017-09-17,18
2017-09-24,21
2017-10-01,16
2017-10-08,20
2017-10-15,20
2017-10-22,16
2017-10-29,12
2017-11-05,16
2017-11-12,21
2017-11-19,15
2017-11-26,18
2017-12-03,25
2017-12-10,16
2017-12-17,22
2017-12-24,19
2017-12-31,22
2018-01-07,15
2018-01-14,18
2018-01-21,19
2018-01-28,14
2018-02-04,18
2018-02-11,16
2018-02-18,14
2018-02-25,10
2018-03-04,9
2018-03-11,12
2018-03-18,8
2018-03-25,10
2018-04-01,6
2018-04-08,9
2018-04-15,9
2018-04-22,5
2018-04-29,8
2018-05-06,5
2018-05-13,6
2018-05-20,8
2018-05-27,10
2018-06-03,10
2018-06-10,8
2018-06-17,12
2018-06-24,16
2018-07-01,17
2018-07-08,24
2018-07-15,24
2018-07-22,29
2018-07-29,33
2018-08-05,31
2018-08-12,27
2018-08-19,28
2018-08-26,27
2018-09-02,25
2018-09-09,24
2018-09-16,21
2018-09-23,25
2018-09-30,23
2018-10-07,25
2018-10-14,19
2018-10-21,20
2018-10-28,17
2018-11-04,20
2018-11-11,23
2018-11-18,21
2018-11-25,20
2018-12-02,25
2018-12-09,20
2018-12-16,21
2018-12-23,24
2018-12-30,37
2019-01-06,39
2019-01-13,38
2019-01-20,33
2019-01-27,33
2019-02-03,28
2019-02-10,22
2019-02-17,21
2019-02-24,17
2019-03-03,14
2019-03-10,14
2019-03-17,11
2019-03-24,14
2019-03-31,12
2019-04-07,11
2019-04-14,8
2019-04-21,9
2019-04-28,8
2019-05-05,7
2019-05-12,9
2019-05-19,10
2019-05-26,10
2019-06-02,13
2019-06-09,15
2019-06-16,17
2019-06-23,24
2019-06-30,27
2019-07-07,33
2019-07-14,50
2019-07-21,73
2019-07-28,81
2019-08-04,88
2019-08-11,100
2019-08-18,84
