YEAR,MONTH,TMEAN,RAINFALL
2014,1,24.6,0.5
2014,2,25.6,0
2014,3,27.2,28.1
2014,4,28.4,28.4
2014,5,29.8,154.6
2014,6,29,78.9
2014,7,27.7,406.7
2014,8,27.9,212.5
2014,9,27.5,321.5
2014,10,27.4,210.5
2014,11,27.3,43
2014,12,26.5,326.8
2015,1,25.3,50.8
2015,2,25.7,5
2015,3,26.6,15.2
2015,4,28.7,0
2015,5,29.4,11.4
2015,6,29.3,159.7
2015,7,28.1,309.1
2015,8,28.4,265.3
2015,9,28.4,243.8
2015,10,27.6,230.2
2015,11,27.8,43.4
2015,12,26.7,292.5
2016,1,26.7,18.7
2016,2,26.6,45.3
2016,3,27.8,10.2
2016,4,30,8.2
2016,5,30.4,101.4
2016,6,29.5,95.6
2016,7,28.9,225.5
2016,8,28.4,375.2
2016,9,28.4,167
2016,10,27.9,312.3
2016,11,27.5,162.1
2016,12,27.4,187.2
2017,1,26.3,87.1
2017,2,25.9,20.2
2017,3,27.3,19.4
2017,4,29.2,17.8
2017,5,30,126.6
2017,6,29.5,115.8
2017,7,28.4,254
2017,8,28.6,375
2017,9,28.5,584.8
2017,10,28,241.7
2017,11,28.2,189.7
2017,12,27,183.7
2018,1,26.5,40.1
2018,2,27.2,2.4
2018,3,27.6,4
2018,4,29.2,6.02
2018,5,29.8,131.5
2018,6,28.2,488.4
2018,7,27.7,596.2
2018,8,28.1,160.8
2018,9,27.8,255.6
2018,10,28.1,127.7
2018,11,27.8,20.3
2018,12,26.9,286.2
