YEAR,MONTH,TMEAN,RAINFALL
2014,1,26.4,0.4
2014,2,27.7,3.3
2014,3,28.9,7.2
2014,4,30.7,1.2
2014,5,32.2,84.5
2014,6,29.9,321.4
2014,7,28.7,523.4
2014,8,29.3,296.8
2014,9,29,460.3
2014,10,29.1,212.9
2014,11,28.9,27.8
2014,12,27.7,163.2
2015,1,26.6,31.8
2015,2,27.4,1
2015,3,28.6,8.8
2015,4,30.6,0
2015,5,33.4,10.2
2015,6,31.2,166.8
2015,7,29.5,352.8
2015,8,29.7,312.6
2015,9,29.7,359.2
2015,10,29.4,103.6
2015,11,29.6,9.2
2015,12,28.1,294.7
2016,1,28.3,1.4
2016,2,27.8,80.6
2016,3,29.6,0.2
2016,4,31.4,20.2
2016,5,31.6,161.8
2016,6,30.3,182.4
2016,7,30,302.8
2016,8,28.9,775
2016,9,29.5,145.3
2016,10,29.3,189.36
2016,11,28.4,88.9
2016,12,28.4,89.8
2017,1,27.4,52.5
2017,2,27.3,5.4
2017,3,29,6.4
2017,4,30.5,39.3
2017,5,31.3,186.4
2017,6,30.7,105.1
2017,7,29.3,467.2
2017,8,29.8,323
2017,9,29.7,382.7
2017,10,29.1,196.1
2017,11,29.1,116.4
2017,12,28.2,57.1
2018,1,27.9,16.4
2018,2,28.5,0.8
2018,3,28.9,105.8
2018,4,30.8,0.2
2018,5,32,20
2018,6,29,723
2018,7,28.2,757.3
2018,8,28.9,427.2
2018,9,29.2,194.7
2018,10,30.1,72.8
2018,11,29.5,13.7
2018,12,28.1,132.9
