YEAR,MONTH,TMEAN,RAINFALL
2014,1,22.6,30
2014,2,23.7,21.2
2014,3,26,91.1
2014,4,27.6,20.5
2014,5,29.1,83.6
2014,6,28.1,167.1
2014,7,27,337.4
2014,8,27.3,247.3
2014,9,26.2,293.1
2014,10,26.4,609.4
2014,11,26,332.2
2014,12,24.4,700.9
2015,1,23.6,124.2
2015,2,24.2,66.7
2015,3,25.5,59.8
2015,4,27,17.7
2015,5,28.4,19.2
2015,6,28.5,156.3
2015,7,27.6,123.3
2015,8,27.7,162.2
2015,9,27.8,306.6
2015,10,27.1,334.6
2015,11,26.6,443.9
2015,12,25.6,544.6
2016,1,25.2,113.8
2016,2,24.8,255.7
2016,3,26.4,60.9
2016,4,27.7,43
2016,5,29.1,67.9
2016,6,28.6,76.3
2016,7,28,219.5
2016,8,27.9,165.8
2016,9,28,75.4
2016,10,27.2,642.1
2016,11,26.5,697.4
2016,12,26,735.4
2017,1,25,416.2
2017,2,24.9,156.5
2017,3,26.2,81.2
2017,4,27.6,92.7
2017,5,29,176.9
2017,6,28.3,241.5
2017,7,26.7,310.3
2017,8,26.7,188.5
2017,9,25.6,480.2
2017,10,26.2,390.2
2017,11,26.7,787.2
2017,12,25.4,822.5
2018,1,25.2,279.3
2018,2,25.7,183.4
2018,3,26.3,129.3
2018,4,27.8,96.3
2018,5,28.8,153.9
2018,6,27.8,179.2
2018,7,27.2,264.6
2018,8,27.7,139.8
2018,9,27,269.4
2018,10,27.5,116.3
2018,11,26.8,263.5
2018,12,26,685.4
