VALUE,Longitude,Latitude,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,NL_NAME_3,VARNAME_3,TYPE_3,ENGTYPE_3,PROVINCE,REGION
1.00000000,120.6089329,15.1299823,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31438",Agapito del Rosario,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6090089,15.1289883,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31438",Agapito del Rosario,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5833297,15.1544891,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31439",Amsic,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5826687,15.1538678,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31439",Amsic,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5840592,15.1536652,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31439",Amsic,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5862888,15.1536297,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31439",Amsic,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5834074,15.1535853,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31439",Amsic,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5842389,15.1533013,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31439",Amsic,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5992810,15.1526103,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31439",Amsic,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5833937,15.1527732,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31439",Amsic,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5992795,15.1525200,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31439",Amsic,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5849669,15.1523871,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31439",Amsic,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5818890,15.1517140,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31439",Amsic,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6009302,15.1512301,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31439",Amsic,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5854863,15.1501224,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31439",Amsic,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5855792,15.1501209,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31439",Amsic,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5854847,15.1500322,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31439",Amsic,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6001061,15.1464597,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31439",Amsic,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5781533,15.1506000,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5598262,15.1493558,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5638209,15.1492926,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5608451,15.1491591,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5647454,15.1490072,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5648368,15.1489155,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5612121,15.1488826,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5625981,15.1484094,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5647333,15.1482854,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5629531,15.1474109,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5624719,15.1464257,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5654341,15.1457470,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5655270,15.1457456,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5654326,15.1456568,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5619923,15.1455306,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5615248,15.1453575,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5690299,15.1440655,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31440",Anunas,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6162935,15.1639808,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31441",Balibago,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6218260,15.1614550,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31441",Balibago,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6330129,15.1581160,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31441",Balibago,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6149798,15.1577743,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31441",Balibago,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6220821,15.1437611,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31443",Claro M. Recto,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6220806,15.1436708,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31443",Claro M. Recto,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6221735,15.1436693,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31443",Claro M. Recto,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6168280,15.1407767,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31443",Claro M. Recto,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5780197,15.1426594,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31444",Cuayan,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5780182,15.1425692,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31444",Cuayan,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5782893,15.1421136,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31444",Cuayan,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6007936,15.1266826,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31445",Cutcut,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6159659,15.1392562,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31448",Lourdes Sur East,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6160588,15.1392548,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31448",Lourdes Sur East,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6158715,15.1391675,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31448",Lourdes Sur East,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6160573,15.1391645,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31448",Lourdes Sur East,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6161502,15.1391630,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31448",Lourdes Sur East,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6157771,15.1390788,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31448",Lourdes Sur East,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6161486,15.1390728,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31448",Lourdes Sur East,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6156826,15.1389900,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31448",Lourdes Sur East,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6161471,15.1389826,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31448",Lourdes Sur East,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6058777,15.1635160,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31450",Malabanias,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6060604,15.1633325,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31450",Malabanias,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6054877,15.1624391,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31450",Malabanias,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6064867,15.1610693,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31450",Malabanias,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.6070303,15.1602483,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31450",Malabanias,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5948281,15.1585480,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31450",Malabanias,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5950824,15.1570998,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31450",Malabanias,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5952682,15.1570969,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31450",Malabanias,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5949880,15.1570111,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31450",Malabanias,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5948936,15.1569223,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31450",Malabanias,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5949865,15.1569208,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31450",Malabanias,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5947976,15.1567433,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31450",Malabanias,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5946788,15.1552109,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31450",Malabanias,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5992186,15.1544164,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31450",Malabanias,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5992171,15.1543261,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31450",Malabanias,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5716460,15.1670400,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5712729,15.1669556,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5713658,15.1669541,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5716445,15.1669497,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5703393,15.1666996,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5705236,15.1666065,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5706165,15.1666050,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5718243,15.1665858,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5709866,15.1665089,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5716369,15.1664985,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5684735,15.1662779,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5702388,15.1662499,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5703317,15.1662485,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5696798,15.1661685,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5722797,15.1660371,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5689335,15.1659999,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5691193,15.1659969,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5714390,15.1657796,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5715319,15.1657781,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5719005,15.1655918,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5695687,15.1650872,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5745690,15.1640151,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
1.00000000,120.5696313,15.1632810,"177",PHL,Philippines,"60",Pampanga,"1216",Angeles City,"31451",Margot,,,Barangay,Village,Pampanga,Central Luzon (Region III)
