VALUE,Longitude,Latitude,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,NL_NAME_3,VARNAME_3,TYPE_3,ENGTYPE_3,PROVINCE,REGION
1.00000000,120.3413714,16.0373843,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3398809,16.0370948,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3397887,16.0370033,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3405418,16.0365611,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3404496,16.0364696,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3431612,16.0362323,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3412038,16.0359371,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3442866,16.0358850,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3407393,16.0357507,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3411140,16.0356650,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3441046,16.0355214,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3410242,16.0353929,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3410254,16.0353026,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3413092,16.0350352,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3429972,16.0345142,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3435623,16.0341599,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3463673,16.0339237,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3449690,16.0337257,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3445966,16.0336308,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3450635,16.0336366,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3433839,16.0335254,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3448828,16.0331827,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3452587,16.0330067,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3446996,16.0329095,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3441417,16.0327219,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3442351,16.0327231,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32412",Bacayao Norte,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3426237,16.0274645,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32413",Bacayao Sur,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3424501,16.0264688,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32413",Bacayao Sur,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3434832,16.0260300,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32413",Bacayao Sur,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
1.00000000,120.3429241,16.0259328,"177",PHL,Philippines,"61",Pangasinan,"1255",Dagupan City,"32413",Bacayao Sur,,,Barangay,Village,Pangasinan,Ilocos Region (Region I)
