VALUE,Longitude,Latitude,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,NL_NAME_3,VARNAME_3,TYPE_3,ENGTYPE_3,PROVINCE,REGION
1.00000000,125.1991744,6.1010815,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.1991741,6.1009911,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.1992644,6.1009907,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.1990834,6.1009011,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.1991737,6.1009007,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.1993543,6.1009000,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.1990830,6.1008107,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.1991733,6.1008103,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.1992637,6.1008100,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.1993540,6.1008096,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.1994443,6.1008092,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.1993536,6.1007192,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.1994439,6.1007188,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.1996242,6.1006277,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.1998943,6.1004458,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.1999846,6.1004454,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.2000750,6.1004451,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.2000746,6.1003547,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.2005258,6.1002624,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.2006161,6.1002620,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.2007064,6.1002617,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.2007963,6.1001709,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.2019655,6.0989910,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37112",Baluan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.2305405,6.1080033,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37114",Buayan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.2306308,6.1080029,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37114",Buayan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.2318933,6.1075457,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37114",Buayan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
1.00000000,125.2318858,6.1057378,"177",PHL,Philippines,"71",South Cotabato,"1431",General Santos City,"37114",Buayan,,,Barangay,Village,South Cotabato,SOCCSKSARGEN (Region XII)
