VALUE,Longitude,Latitude,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,NL_NAME_3,VARNAME_3,TYPE_3,ENGTYPE_3,PROVINCE,REGION
1.00000000,123.7437021,13.1389891,"177",PHL,Philippines,"5",Albay,"78",Legazpi City,"1432",Bgy. 18 - Cabag�an West,,Poblacion,Barangay,Village,Albay,Bicol Region (Region V)
1.00000000,123.7541274,13.1389587,"177",PHL,Philippines,"5",Albay,"78",Legazpi City,"1440",Bgy. 25 - Lapu-Lapu,,Poblacion,Barangay,Village,Albay,Bicol Region (Region V)
1.00000000,123.7557923,13.1403101,"177",PHL,Philippines,"5",Albay,"78",Legazpi City,"1441",Bgy. 26 - Dinagaan,,Poblacion,Barangay,Village,Albay,Bicol Region (Region V)
1.00000000,123.7552376,13.1399500,"177",PHL,Philippines,"5",Albay,"78",Legazpi City,"1441",Bgy. 26 - Dinagaan,,Poblacion,Barangay,Village,Albay,Bicol Region (Region V)
1.00000000,123.7551451,13.1398599,"177",PHL,Philippines,"5",Albay,"78",Legazpi City,"1441",Bgy. 26 - Dinagaan,,Poblacion,Barangay,Village,Albay,Bicol Region (Region V)
1.00000000,123.7551448,13.1397695,"177",PHL,Philippines,"5",Albay,"78",Legazpi City,"1441",Bgy. 26 - Dinagaan,,Poblacion,Barangay,Village,Albay,Bicol Region (Region V)
1.00000000,123.7544045,13.1390483,"177",PHL,Philippines,"5",Albay,"78",Legazpi City,"1441",Bgy. 26 - Dinagaan,,Poblacion,Barangay,Village,Albay,Bicol Region (Region V)
1.00000000,123.7595599,13.1354164,"177",PHL,Philippines,"5",Albay,"78",Legazpi City,"1443",Bgy. 28 - Victory Village North,,Poblacion,Barangay,Village,Albay,Bicol Region (Region V)
1.00000000,123.7594671,13.1352358,"177",PHL,Philippines,"5",Albay,"78",Legazpi City,"1443",Bgy. 28 - Victory Village North,,Poblacion,Barangay,Village,Albay,Bicol Region (Region V)
1.00000000,123.7593745,13.1351457,"177",PHL,Philippines,"5",Albay,"78",Legazpi City,"1443",Bgy. 28 - Victory Village North,,Poblacion,Barangay,Village,Albay,Bicol Region (Region V)
