VALUE,Longitude,Latitude,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,NL_NAME_3,VARNAME_3,TYPE_3,ENGTYPE_3,PROVINCE,REGION
1.00000000,125.1225364,7.9975037,"177",PHL,Philippines,"16",Bukidnon,"270",Malaybalay City,"6119",Bangcud,,,Barangay,Village,Bukidnon,Northern Mindanao (Region X)
1.00000000,125.1308406,7.9900485,"177",PHL,Philippines,"16",Bukidnon,"270",Malaybalay City,"6119",Bangcud,,,Barangay,Village,Bukidnon,Northern Mindanao (Region X)
1.00000000,125.1384492,7.9883821,"177",PHL,Philippines,"16",Bukidnon,"270",Malaybalay City,"6119",Bangcud,,,Barangay,Village,Bukidnon,Northern Mindanao (Region X)
1.00000000,125.1385380,7.9880201,"177",PHL,Philippines,"16",Bukidnon,"270",Malaybalay City,"6119",Bangcud,,,Barangay,Village,Bukidnon,Northern Mindanao (Region X)
1.00000000,125.1385375,7.9879297,"177",PHL,Philippines,"16",Bukidnon,"270",Malaybalay City,"6119",Bangcud,,,Barangay,Village,Bukidnon,Northern Mindanao (Region X)
1.00000000,125.1336380,7.9874126,"177",PHL,Philippines,"16",Bukidnon,"270",Malaybalay City,"6119",Bangcud,,,Barangay,Village,Bukidnon,Northern Mindanao (Region X)
1.00000000,125.1385267,7.9858507,"177",PHL,Philippines,"16",Bukidnon,"270",Malaybalay City,"6119",Bangcud,,,Barangay,Village,Bukidnon,Northern Mindanao (Region X)
1.00000000,125.2438316,8.3481997,"177",PHL,Philippines,"16",Bukidnon,"270",Malaybalay City,"6131",Busdi,,,Barangay,Village,Bukidnon,Northern Mindanao (Region X)
1.00000000,125.2440132,8.3481987,"177",PHL,Philippines,"16",Bukidnon,"270",Malaybalay City,"6131",Busdi,,,Barangay,Village,Bukidnon,Northern Mindanao (Region X)
1.00000000,125.2441039,8.3481981,"177",PHL,Philippines,"16",Bukidnon,"270",Malaybalay City,"6131",Busdi,,,Barangay,Village,Bukidnon,Northern Mindanao (Region X)
