VALUE,Longitude,Latitude,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,NL_NAME_3,VARNAME_3,TYPE_3,ENGTYPE_3,PROVINCE,REGION
1.00000000,125.5846585,9.8990882,"177",PHL,Philippines,"75",Surigao del Norte,"1511",Surigao City,"38733",Aurora,,,Barangay,Village,Surigao del Norte,Caraga (Region XIII)
1.00000000,125.5842933,9.8990007,"177",PHL,Philippines,"75",Surigao del Norte,"1511",Surigao City,"38733",Aurora,,,Barangay,Village,Surigao del Norte,Caraga (Region XIII)
1.00000000,125.5844749,9.8989089,"177",PHL,Philippines,"75",Surigao del Norte,"1511",Surigao City,"38733",Aurora,,,Barangay,Village,Surigao del Norte,Caraga (Region XIII)
1.00000000,125.6122875,9.8897484,"177",PHL,Philippines,"75",Surigao del Norte,"1511",Surigao City,"38733",Aurora,,,Barangay,Village,Surigao del Norte,Caraga (Region XIII)
1.00000000,125.6121046,9.8896595,"177",PHL,Philippines,"75",Surigao del Norte,"1511",Surigao City,"38733",Aurora,,,Barangay,Village,Surigao del Norte,Caraga (Region XIII)
1.00000000,125.6121957,9.8896588,"177",PHL,Philippines,"75",Surigao del Norte,"1511",Surigao City,"38733",Aurora,,,Barangay,Village,Surigao del Norte,Caraga (Region XIII)
1.00000000,125.5517989,9.8686166,"177",PHL,Philippines,"75",Surigao del Norte,"1511",Surigao City,"38735",Baybay,,,Barangay,Village,Surigao del Norte,Caraga (Region XIII)
1.00000000,125.5523818,9.8614736,"177",PHL,Philippines,"75",Surigao del Norte,"1511",Surigao City,"38735",Baybay,,,Barangay,Village,Surigao del Norte,Caraga (Region XIII)
1.00000000,125.5518330,9.8612067,"177",PHL,Philippines,"75",Surigao del Norte,"1511",Surigao City,"38735",Baybay,,,Barangay,Village,Surigao del Norte,Caraga (Region XIII)
1.00000000,125.5516501,9.8611177,"177",PHL,Philippines,"75",Surigao del Norte,"1511",Surigao City,"38735",Baybay,,,Barangay,Village,Surigao del Norte,Caraga (Region XIII)
1.00000000,125.5517412,9.8611170,"177",PHL,Philippines,"75",Surigao del Norte,"1511",Surigao City,"38735",Baybay,,,Barangay,Village,Surigao del Norte,Caraga (Region XIII)
1.00000000,125.5510116,9.8610322,"177",PHL,Philippines,"75",Surigao del Norte,"1511",Surigao City,"38735",Baybay,,,Barangay,Village,Surigao del Norte,Caraga (Region XIII)
1.00000000,125.6351541,9.7856606,"177",PHL,Philippines,"75",Surigao del Norte,"1511",Surigao City,"38737",Bitaugan,,,Barangay,Village,Surigao del Norte,Caraga (Region XIII)
1.00000000,125.6353363,9.7856592,"177",PHL,Philippines,"75",Surigao del Norte,"1511",Surigao City,"38737",Bitaugan,,,Barangay,Village,Surigao del Norte,Caraga (Region XIII)
