VALUE,Longitude,Latitude,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,NL_NAME_3,VARNAME_3,TYPE_3,ENGTYPE_3,PROVINCE,REGION
1.00000000,121.6373142,14.0232795,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34452",Alsam Ibaba,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5933981,14.0282713,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34456",Angeles Zone II,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5859105,14.0263294,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34465",Baguio,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5860031,14.0263299,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34465",Baguio,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5865602,14.0260620,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34465",Baguio,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5866534,14.0259721,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34465",Baguio,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5858229,14.0255153,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34465",Baguio,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5867559,14.0243456,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34465",Baguio,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5868490,14.0242558,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34465",Baguio,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5848593,14.0165606,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34465",Baguio,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5850445,14.0165616,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34465",Baguio,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5690344,14.0005581,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34467",Bukal Ibaba,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5691270,14.0005586,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34467",Bukal Ibaba,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5692195,14.0005592,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34467",Bukal Ibaba,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5694052,14.0004699,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34467",Bukal Ibaba,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5393248,14.0141208,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34468",Bukal Ilaya,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5713404,13.9869220,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34470",Calumpang,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5713410,13.9868317,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34470",Calumpang,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5707867,13.9866476,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34470",Calumpang,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5708792,13.9866481,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34470",Calumpang,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
1.00000000,121.5706958,13.9863759,"177",PHL,Philippines,"62",Quezon,"1325",Tayabas City,"34470",Calumpang,,,Barangay,Village,Quezon,CALABARZON (Region IV-A)
