VALUE,Longitude,Latitude,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,NL_NAME_3,VARNAME_3,TYPE_3,ENGTYPE_3,PROVINCE,REGION
1.00000000,121.7038518,17.6189108,"177",PHL,Philippines,"18",Cagayan,"332",Tuguegarao City,"7702",Buntun,,,Barangay,Village,Cagayan,Cagayan Valley (Region II)
1.00000000,121.7048898,17.6187369,"177",PHL,Philippines,"18",Cagayan,"332",Tuguegarao City,"7702",Buntun,,,Barangay,Village,Cagayan,Cagayan Valley (Region II)
1.00000000,121.7047962,17.6186459,"177",PHL,Philippines,"18",Cagayan,"332",Tuguegarao City,"7702",Buntun,,,Barangay,Village,Cagayan,Cagayan Valley (Region II)
1.00000000,121.7047026,17.6185549,"177",PHL,Philippines,"18",Cagayan,"332",Tuguegarao City,"7702",Buntun,,,Barangay,Village,Cagayan,Cagayan Valley (Region II)
1.00000000,121.7537552,17.6392045,"177",PHL,Philippines,"18",Cagayan,"332",Tuguegarao City,"7703",Caggay,,,Barangay,Village,Cagayan,Cagayan Valley (Region II)
1.00000000,121.7538495,17.6392051,"177",PHL,Philippines,"18",Cagayan,"332",Tuguegarao City,"7703",Caggay,,,Barangay,Village,Cagayan,Cagayan Valley (Region II)
1.00000000,121.7539437,17.6392057,"177",PHL,Philippines,"18",Cagayan,"332",Tuguegarao City,"7703",Caggay,,,Barangay,Village,Cagayan,Cagayan Valley (Region II)
1.00000000,121.7541322,17.6392069,"177",PHL,Philippines,"18",Cagayan,"332",Tuguegarao City,"7703",Caggay,,,Barangay,Village,Cagayan,Cagayan Valley (Region II)
1.00000000,121.7542265,17.6392075,"177",PHL,Philippines,"18",Cagayan,"332",Tuguegarao City,"7703",Caggay,,,Barangay,Village,Cagayan,Cagayan Valley (Region II)
1.00000000,121.7538501,17.6391147,"177",PHL,Philippines,"18",Cagayan,"332",Tuguegarao City,"7703",Caggay,,,Barangay,Village,Cagayan,Cagayan Valley (Region II)
1.00000000,121.7539443,17.6391153,"177",PHL,Philippines,"18",Cagayan,"332",Tuguegarao City,"7703",Caggay,,,Barangay,Village,Cagayan,Cagayan Valley (Region II)
