VALUE,Longitude,Latitude,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,NL_NAME_3,VARNAME_3,TYPE_3,ENGTYPE_3,PROVINCE,REGION
1.00000000,122.0646058,7.0214664,"177",PHL,Philippines,"81",Zamboanga del Sur,"1631",Zamboanga City,"41452",Baluno,,,Barangay,Village,Zamboanga del Sur,Zamboanga Peninsula (Region IX)
1.00000000,122.0665097,7.0201135,"177",PHL,Philippines,"81",Zamboanga del Sur,"1631",Zamboanga City,"41452",Baluno,,,Barangay,Village,Zamboanga del Sur,Zamboanga Peninsula (Region IX)
1.00000000,122.0614623,7.0089783,"177",PHL,Philippines,"81",Zamboanga del Sur,"1631",Zamboanga City,"41452",Baluno,,,Barangay,Village,Zamboanga del Sur,Zamboanga Peninsula (Region IX)
1.00000000,122.0648123,7.0087137,"177",PHL,Philippines,"81",Zamboanga del Sur,"1631",Zamboanga City,"41452",Baluno,,,Barangay,Village,Zamboanga del Sur,Zamboanga Peninsula (Region IX)
1.00000000,122.0645417,7.0082609,"177",PHL,Philippines,"81",Zamboanga del Sur,"1631",Zamboanga City,"41452",Baluno,,,Barangay,Village,Zamboanga del Sur,Zamboanga Peninsula (Region IX)
1.00000000,122.0590199,7.0080690,"177",PHL,Philippines,"81",Zamboanga del Sur,"1631",Zamboanga City,"41452",Baluno,,,Barangay,Village,Zamboanga del Sur,Zamboanga Peninsula (Region IX)
1.00000000,122.0598348,7.0079801,"177",PHL,Philippines,"81",Zamboanga del Sur,"1631",Zamboanga City,"41452",Baluno,,,Barangay,Village,Zamboanga del Sur,Zamboanga Peninsula (Region IX)
1.00000000,122.0620982,7.0078942,"177",PHL,Philippines,"81",Zamboanga del Sur,"1631",Zamboanga City,"41452",Baluno,,,Barangay,Village,Zamboanga del Sur,Zamboanga Peninsula (Region IX)
1.00000000,122.0606504,7.0075295,"177",PHL,Philippines,"81",Zamboanga del Sur,"1631",Zamboanga City,"41452",Baluno,,,Barangay,Village,Zamboanga del Sur,Zamboanga Peninsula (Region IX)
1.00000000,122.0652680,7.0071770,"177",PHL,Philippines,"81",Zamboanga del Sur,"1631",Zamboanga City,"41452",Baluno,,,Barangay,Village,Zamboanga del Sur,Zamboanga Peninsula (Region IX)
