DN,Longitude,Latitude
"1",124.2049997,7.2360976
"1",124.2058583,7.2354171
"1",124.2289066,7.2353102
"1",124.1925896,7.2350450
"1",124.2313491,7.2343088
"1",124.2318014,7.2341267
"1",124.2335179,7.2325846
"1",124.2069183,7.2326559
"1",124.1849755,7.2324874
"1",124.2336075,7.2322226
"1",124.2071629,7.2322030
"1",124.2069450,7.2320046
"1",124.2069806,7.2317513
"1",124.2068897,7.2316159
"1",124.2094244,7.2312022
"1",124.2065650,7.2311452
"1",124.2065254,7.2308481
"1",124.2062523,7.2303062
"1",124.2060387,7.2294627
"1",124.2358607,7.2282372
"1",124.2333243,7.2279728
"1",124.2372182,7.2278718
"1",124.2345916,7.2277885
"1",124.2378489,7.2266944
"1",124.2405647,7.2263253
"1",124.1810644,7.2260310
"1",124.2411962,7.2254192
"1",124.2333169,7.2252597
"1",124.2418296,7.2252366
"1",124.2449077,7.2248664
"1",124.2430057,7.2247812
"1",124.2296017,7.2244558
"1",124.1716419,7.2245179
"1",124.1714605,7.2244279
"1",124.2468077,7.2242282
"1",124.2438190,7.2241459
"1",124.2478029,7.2238637
"1",124.1708250,7.2237964
"1",124.2477569,7.2235925
"1",124.2436359,7.2234229
"1",124.2328587,7.2232713
"1",124.2414619,7.2232479
"1",124.2457183,7.2232363
"1",124.2456275,7.2231461
"1",124.2475292,7.2231409
"1",124.2477103,7.2231404
"1",124.2487971,7.2231375
"1",124.2460349,7.2230998
"1",124.2425482,7.2230641
"1",124.2385633,7.2229845
"1",124.2471665,7.2229611
"1",124.2482531,7.2229129
"1",124.2387441,7.2228936
"1",124.1703961,7.2233202
"1",124.2339440,7.2227257
"1",124.2415508,7.2226146
"1",124.2446298,7.2226062
"1",124.2470747,7.2225091
"1",124.2473462,7.2224632
"1",124.2509688,7.2224985
"1",124.2430898,7.2224296
"1",124.2479432,7.2221993
"1",124.2490664,7.2222776
"1",124.2504248,7.2222739
"1",124.2404631,7.2222558
