DN,Longitude,Latitude
"1",122.5706493,10.7720233
"1",122.5777396,10.7708573
"1",122.5828618,10.7707738
"1",122.5802110,10.7695945
"1",122.5821325,10.7690545
"1",122.5836874,10.7690566
"1",122.5700592,10.7689475
"1",122.5828645,10.7688294
"1",122.5766449,10.7687757
"1",122.5770108,10.7687762
"1",122.5674073,10.7684917
"1",122.5705179,10.7679533
"1",122.5755495,10.7672368
"1",122.5782020,10.7672404
"1",122.5831412,10.7671566
"1",122.5753671,10.7668747
"1",122.5745449,10.7661501
"1",122.5801245,10.7659768
"1",122.5830520,10.7654834
"1",122.5797598,10.7651624
"1",122.5801269,10.7642585
"1",122.5797613,10.7640771
"1",122.5875358,10.7639971
"1",122.5795786,10.7638960
"1",122.5786655,10.7627643
"1",122.5804950,10.7625859
"1",122.5807694,10.7626315
"1",122.5798551,10.7623589
"1",122.5703431,10.7622554
"1",122.5768375,10.7619026
"1",122.5817766,10.7618189
"1",122.5896424,10.7618294
"1",122.5774780,10.7616774
"1",122.5772041,10.7613605
"1",122.5766557,10.7610884
"1",122.5790337,10.7610916
"1",122.5769303,10.7609079
"1",122.5809246,10.7606119
"1",122.5935772,10.7604327
"1",122.5936692,10.7600259
"1",122.5803159,10.7598272
"1",122.5879990,10.7596566
"1",122.5504089,10.7589714
"1",122.5681533,10.7584540
"1",122.5724536,10.7573746
"1",122.5736430,10.7571050
"1",122.5825159,10.7563031
"1",122.5761599,10.7558423
"1",122.5917542,10.7557727
"1",122.5876387,10.7555864
"1",122.5903828,10.7554092
"1",122.5907490,10.7551383
"1",122.5891945,10.7548649
"1",122.5856278,10.7546793
"1",122.5878229,10.7546822
"1",122.5740125,10.7544827
"1",122.5876404,10.7543655
"1",122.5797750,10.7541288
"1",122.5872751,10.7539580
"1",122.5726415,10.7538478
"1",122.5902022,10.7536906
"1",122.5904766,10.7536909
"1",122.5887390,10.7535982
"1",122.5871843,10.7534605
"1",122.5869100,10.7534149
"1",122.5870933,10.7531438
"1",122.5574603,10.7529673
