DN,Longitude,Latitude
"1",121.0702814,14.7369770
"1",121.0686220,14.7356076
"1",121.0667041,14.7319769
"1",121.0657804,14.7314269
"1",121.0659661,14.7314285
"1",121.0766492,14.7308849
"1",121.0762326,14.7307459
"1",121.0756819,14.7300184
"1",121.0752652,14.7298793
"1",121.0761952,14.7297228
"1",121.0674251,14.7291814
"1",121.0781546,14.7286382
"1",121.0780414,14.7281372
"1",121.0781618,14.7278249
"1",121.0783475,14.7278264
"1",121.0762324,14.7281101
"1",121.0754716,14.7275314
"0",121.0759374,14.7273546
"1",121.0756596,14.7272619
"1",121.0670276,14.7268737
"1",121.0758493,14.7268116
"1",121.0764080,14.7266355
"0",121.0757596,14.7264494
"0",121.0767817,14.7263675
"1",121.0770611,14.7262795
"0",121.0764127,14.7260933
"1",121.0766920,14.7260053
"0",121.0764143,14.7259126
"1",121.0770658,14.7257373
"1",121.0764183,14.7254608
"1",121.0766040,14.7254624
"1",121.0736337,14.7253473
"1",121.0738194,14.7253488
"1",121.0762300,14.7260264
"1",121.0736360,14.7250762
"1",121.0767928,14.7251024
"1",121.0772640,14.7251272
"1",121.0994655,14.7232111
"1",121.0996512,14.7232127
"1",121.1039363,14.7216211
"1",121.0576081,14.7210564
"1",121.0974386,14.7213871
"1",121.0973009,14.7212052
"1",121.1033839,14.7210744
"1",121.0650412,14.7204861
"1",121.0631859,14.7202898
"1",121.0648805,14.7202814
"1",121.0656935,14.7202204
"1",121.0754453,14.7199402
"1",121.0809231,14.7199856
"1",121.0652337,14.7197195
"1",121.0270921,14.7175452
"1",121.1002521,14.7181568
"1",121.0363770,14.7175337
"1",121.0928757,14.7175540
"1",121.0924595,14.7173698
"1",121.0927844,14.7173725
"1",121.0926779,14.7171607
"1",121.0931110,14.7171944
"1",121.0926499,14.7168292
"1",121.0375944,14.7163693
"1",121.0934910,14.7162035
"1",121.1024095,14.7156441
"1",121.1025951,14.7156456
"1",121.0289732,14.7148502
"1",121.0906199,14.7153665
"1",121.0908060,14.7153229
"1",121.0283282,14.7143025
"1",121.0974974,14.7146098
"1",121.0781885,14.7141793
"1",121.0783741,14.7141808
"1",121.0786527,14.7141831
"1",121.0863586,14.7142469
"1",121.0865907,14.7142488
"1",121.0977782,14.7143409
"1",121.0980579,14.7142077
"1",121.0859888,14.7140631
"1",121.0861745,14.7140646
"1",121.0863601,14.7140662
"1",121.0866391,14.7140233
"1",121.0917450,14.7141106
"1",121.0955524,14.7140515
"1",121.0767062,14.7138055
"1",121.0768918,14.7138070
"1",121.0780424,14.7138889
"1",121.0865482,14.7137966
"1",121.0768934,14.7136263
"0",121.0775441,14.7135413
"1",121.0765236,14.7134425
"0",121.0776381,14.7134066
"1",121.0813978,14.7134829
"1",121.0858078,14.7135194
"1",121.0859935,14.7135209
"1",121.0862256,14.7135228
"1",121.0941636,14.7135883
"1",121.0951849,14.7135967
"1",121.0763395,14.7132602
"1",121.0818172,14.7133056
"1",121.0857166,14.7133379
"1",121.0860415,14.7133406
"1",121.0888732,14.7133640
"1",121.0309415,14.7127885
"0",121.0774544,14.7131791
"0",121.0772695,14.7130872
"1",121.0884106,14.7131794
"1",121.0887823,14.7131373
"1",121.0761562,14.7129876
"0",121.0768525,14.7129934
"1",121.0817267,14.7130338
"1",121.0950031,14.7131433
"1",121.0775359,14.7131699
"1",121.0776905,14.7127292
"1",121.0815152,14.7128061
"1",121.0818219,14.7127635
"1",121.0782027,14.7125527
"1",121.0843302,14.7126035
"1",121.0848873,14.7126081
"1",121.0815458,14.7124901
"1",121.0814073,14.7123985
"1",121.0833106,14.7124143
"1",121.0841461,14.7124212
"1",121.0848904,14.7122466
"1",121.0860974,14.7122566
"1",121.0839628,14.7121486
"1",121.0861910,14.7121670
"1",121.0274258,14.7114031
"1",121.0847589,14.7119543
"1",121.0961321,14.7114356
"1",121.0407178,14.7097085
"1",121.0207615,14.7091322
"1",121.0399804,14.7091148
"1",121.0207651,14.7087256
"1",121.0911836,14.7092711
"1",121.0280080,14.7086066
"1",121.0408212,14.7085346
"1",121.0637522,14.7087273
"1",121.0268980,14.7081453
"1",121.0839928,14.7087148
"1",121.0855774,14.7080049
"1",121.0846993,14.7075458
"1",121.0840038,14.7074497
"1",121.0345228,14.7068546
"1",121.0296969,14.7066329
"1",121.0839149,14.7069971
"1",121.0834523,14.7068125
"1",121.0864049,14.7062721
"1",121.0887504,14.7061333
"1",121.0860359,14.7059979
"1",121.0852304,14.7052005
"1",121.0855090,14.7052028
"1",121.0389067,14.7045874
"1",121.1096495,14.7051299
"1",121.1124355,14.7050622
"1",121.0382588,14.7043560
"1",121.0422980,14.7042997
"1",121.0865349,14.7046691
"1",121.0314843,14.7040274
"1",121.0873256,14.7044949
"1",121.1098406,14.7044988
"1",121.1109547,14.7045079
"1",121.0890455,14.7042380
"1",121.0793911,14.7040678
"1",121.0728956,14.7036524
"1",121.0791165,14.7036137
"1",121.1095699,14.7035929
"1",121.0725298,14.7030168
"1",121.0374387,14.7026320
"1",121.0846923,14.7030272
"1",121.0729028,14.7028391
"1",121.0371618,14.7024489
"1",121.0763409,14.7025062
"1",121.0225461,14.7016922
"1",121.0933333,14.7022851
"1",121.0235224,14.7015198
"1",121.0217635,14.7009625
"1",121.0223221,14.7007866
"1",121.0229736,14.7006114
"1",121.0220522,14.6998354
"1",121.0234451,14.6998021
"1",121.0252154,14.6990943
"1",121.0726591,14.6988609
"1",121.0824081,14.6988061
"1",121.0713642,14.6983079
"1",121.1004234,14.6983670
"1",121.0684903,14.6978321
"1",121.0254189,14.6971079
"1",121.0712785,14.6974938
"1",121.0701669,14.6972135
"1",121.0224515,14.6967211
"1",121.0228278,14.6961822
"1",121.1026702,14.6962165
"1",121.1057338,14.6962415
"1",121.1030423,14.6961291
"1",121.0227899,14.6952330
"1",121.0977530,14.6958147
"1",121.0996105,14.6957396
"1",121.0226527,14.6950059
"1",121.0966413,14.6955345
"1",121.1022602,14.6953094
"1",121.1032365,14.6951366
"1",121.0273947,14.6941878
"1",121.0993398,14.6948336
