DN,Longitude,Latitude
"1",124.9672074,11.3526205
"1",124.9658323,11.3524489
"1",124.9669772,11.3524413
"1",124.9660142,11.3522669
"1",124.9659152,11.3511829
"1",124.9642566,11.3497478
"1",124.9659957,11.3495554
"1",124.9322499,11.3439934
"1",124.9325247,11.3439916
"1",124.9328447,11.3438992
"1",124.9673275,11.3434001
"1",124.9671431,11.3432206
"1",124.9678733,11.3428541
"1",124.9682849,11.3427610
"1",124.9419057,11.3428454
"1",124.9420422,11.3427089
"1",124.9684210,11.3425793
"1",124.9422250,11.3426625
"1",124.9433090,11.3426704
"1",124.9441479,11.3425594
"1",124.9533071,11.3424990
"1",124.9422845,11.3424211
"1",124.9430021,11.3424314
"1",124.9432307,11.3423847
"1",124.9432981,11.3421809
"1",124.9531673,11.3421383
"1",124.9533963,11.3421368
"1",124.9429535,11.3420250
"1",124.9425247,11.3418169
"1",124.9441418,11.3416556
"1",124.9443250,11.3416544
"1",124.9425383,11.3415758
"1",124.9429505,11.3415730
"1",124.9426745,11.3413941
"1",124.9428564,11.3412121
"1",124.9442303,11.3412031
"1",124.9444135,11.3412019
"1",124.9430384,11.3410301
"1",124.9349776,11.3409927
"1",124.9678133,11.3407756
"1",124.9348854,11.3409029
"1",124.9432203,11.3408482
"1",124.9434951,11.3408463
"1",124.9444104,11.3407499
"1",124.9439513,11.3405722
"1",124.9434011,11.3404854
"1",124.9452323,11.3403829
"1",124.9686784,11.3400467
"1",124.9630908,11.3399935
"1",124.9444049,11.3399365
"1",124.9484710,11.3384634
"1",124.9637208,11.3383624
"1",124.9639040,11.3383611
"1",124.9644981,11.3381764
"1",124.9666480,11.3378005
"1",124.9668306,11.3377089
"1",124.9660056,11.3376240
"1",124.9661888,11.3376228
"1",124.9656380,11.3374457
"1",124.9696661,11.3371477
"1",124.9669580,11.3362619
"1",124.9665905,11.3360835
"1",124.9676437,11.3360765
"1",124.9678727,11.3360750
"1",124.9664518,11.3359037
"1",124.9647073,11.3352826
"1",124.9638818,11.3351073
"1",124.9486583,11.3323157
"1",124.9616565,11.3311450
"1",124.9640341,11.3305868
"1",124.9651310,11.3302632
"1",124.9097120,11.3294968
"1",124.9652600,11.3290421
"1",124.9095264,11.3291364
"1",124.9342508,11.3282524
"1",124.9625403,11.3264389
"1",124.9641385,11.3257504
"1",124.9188481,11.3260027
"1",124.9181142,11.3258267
"1",124.9639995,11.3255253
"1",124.9467782,11.3251873
"1",124.9642675,11.3245292
"1",124.9072959,11.3242697
"1",124.9074791,11.3242685
"1",124.9072947,11.3240889
"1",124.9644445,11.3236242
"1",124.9635714,11.3231780
"1",124.9632422,11.3219148
"1",124.9627546,11.3194904
"1",124.9364700,11.3177527
"1",124.8969843,11.3162007
"1",124.8977170,11.3161960
"1",124.9617288,11.3148745
"1",124.9616796,11.3143777
"1",124.9614504,11.3143340
"1",124.9613471,11.3126173
"1",124.9585348,11.3098339
"1",124.9637085,11.3097092
"1",124.9592662,11.3096483
"1",124.9641194,11.3095257
"1",124.9630527,11.3075442
"1",124.9656777,11.3030074
"1",124.9568855,11.3029752
"1",124.9654933,11.3028278
"1",124.9590361,11.3027350
"1",124.9588253,11.3020359
"1",124.9592512,11.3006998
"1",124.9620901,11.3006810
"1",124.9593873,11.3005182
"1",124.9622721,11.3004991
"1",124.9647422,11.3001211
"1",124.9591170,11.2998149
"1",124.9648224,11.2984484
"1",124.9659210,11.2983959
"1",124.9605161,11.2981606
"1",124.9658267,11.2979898
"1",124.9656426,11.2978554
"1",124.9644515,11.2977729
"1",124.9654218,11.2977123
"1",124.9646334,11.2975910
