DN,Longitude,Latitude
"1",120.3833598,16.119
"1",120.3815661,16.118
"1",120.3812830,16.118
"1",120.3814820,16.118
"1",120.3807167,16.117
"1",120.3800705,16.117
"1",120.3794977,16.117
"1",120.3819258,16.117
"1",120.3799171,16.117
"1",120.3795873,16.117
"1",120.3787884,16.117
"1",120.3785542,16.117
"1",120.3790210,16.117
"1",120.3806081,16.116
"0",120.3783644,16.116
"1",120.3790179,16.116
"1",120.3792047,16.116
"1",120.3808851,16.116
"1",120.3786996,16.116
"1",120.3788282,16.116
"1",120.3809754,16.116
"1",120.3811621,16.116
"1",120.3811590,16.116
"1",120.3813457,16.116
"1",120.3815324,16.116
"1",120.3788221,16.116
"1",120.3790088,16.116
"1",120.3784456,16.116
"1",120.3788190,16.116
"1",120.3817130,16.116
"1",120.3818997,16.116
"1",120.3782566,16.115
"1",120.3780231,16.116
"1",120.3778824,16.115
"1",120.3784425,16.115
"1",120.3786292,16.115
"1",120.3822701,16.115
"1",120.3822670,16.115
"1",120.3780060,16.115
"1",120.3782497,16.115
"1",120.3824507,16.115
"1",120.3782466,16.115
"1",120.3826328,16.115
"1",120.3780568,16.115
"1",120.3818844,16.115
"1",120.3820681,16.114
"1",120.3822502,16.114
"1",120.3822456,16.114
"1",120.3824315,16.114
"1",120.3767162,16.113
"0",120.3826732,16.115
"1",120.3867962,16.112
"1",120.3766198,16.113
"1",120.3768999,16.113
"1",120.3761508,16.112
"1",120.3763359,16.112
"1",120.3765234,16.112
"1",120.3861249,16.112
"1",120.3765158,16.112
"1",120.3760102,16.112
"0",120.3864348,16.112
"1",120.3756741,16.112
"1",120.3762648,16.112
"1",120.3768831,16.112
"1",120.3751996,16.111
"1",120.3758531,16.111
"1",120.3753848,16.111
"1",120.3766239,16.111
"1",120.3779941,16.111
"1",120.3844302,16.111
"1",120.3746264,16.111
"1",120.3765831,16.110
"1",120.3770032,16.110
"1",120.3773300,16.110
"1",120.3783569,16.110
"1",120.3754623,16.110
"1",120.3758137,16.110
"1",120.3773072,16.110
"1",120.3763436,16.110
"1",120.3766704,16.110
"1",120.3772772,16.110
"1",120.3850508,16.110
"0",120.3852573,16.110
"1",120.3736800,16.110
"1",120.3742868,16.110
"1",120.3757338,16.110
"1",120.3759672,16.110
"1",120.3762939,16.110
"1",120.3764806,16.110
"1",120.3775075,16.110
"1",120.3776942,16.110
"1",120.3781143,16.110
"1",120.3789545,16.110
"1",120.3847890,16.110
"1",120.3792797,16.110
"1",120.3849734,16.110
"1",120.3735836,16.110
"1",120.3755440,16.110
"1",120.3780401,16.110
"1",120.3787180,16.110
"1",120.3737673,16.110
"1",120.3739524,16.109
"1",120.3753298,16.109
"1",120.3756343,16.110
"1",120.3782482,16.109
"1",120.3785283,16.109
"1",120.3787617,16.109
"1",120.3789950,16.109
"1",120.3792284,16.109
"1",120.3755379,16.109
"1",120.3761914,16.109
"1",120.3782452,16.109
"1",120.3785252,16.109
"1",120.3789920,16.109
"1",120.3794587,16.109
"1",120.3749281,16.109
"1",120.3759083,16.109
"1",120.3794557,16.109
"1",120.3751117,16.109
"1",120.3755318,16.109
"1",120.3757185,16.109
"1",120.3759052,16.109
"1",120.3764187,16.109
"1",120.3780523,16.109
"1",120.3743618,16.109
"1",120.3745952,16.109
"1",120.3753887,16.109
"1",120.3736594,16.109
